Geno	Binary_class	Full_class
CHWK-27-4	NA	farNorth
HRSO-27-3	NA	farNorth
GW-9759	NA	farNorth
GW-9760	NA	farNorth
BESC-1201	NA	nearNorth
BESC-1202	NA	nearNorth
BESC-1203	NA	nearNorth
BESC-1204	NA	nearNorth
BESC-1210	NA	nearNorth
BESC-1221	NA	nearNorth
GW-11054	NA	nearNorth
Nisqually-1	NA	nearNorth
BESC-168	NA	nearNorth
BESC-194	NA	nearNorth
BESC-219	NA	nearNorth
BESC-221	NA	nearNorth
BESC-244	NA	nearNorth
GW-9906	NA	nearNorth
GW-9908	NA	nearNorth
GW-9913	NA	nearNorth
BESC-343	NA	nearNorth
BESC-379	NA	nearNorth
BESC-418	NA	nearNorth
BESC-420	NA	nearNorth
BESC-434	NA	nearNorth
GW-10988	NA	nearNorth
BESC-258	NA	nearNorth
BESC-265	NA	nearNorth
BESC-313	NA	nearNorth
BESC-892	NA	nearNorth
93	NA	nearNorth
GW-9864	NA	nearNorth
BESC-1211	NA	nearNorth
BESC-1212	NA	nearNorth
BESC-1213	NA	nearNorth
BESC-1214	NA	nearNorth
BESC-1215	NA	nearNorth
BESC-1216	NA	nearNorth
BESC-1217	NA	nearNorth
BESC-1218	NA	nearNorth
BESC-1219	NA	nearNorth
BESC-1220	NA	nearNorth
BESC-1	NA	Columbia
BESC-10	NA	Columbia
BESC-100	NA	Columbia
BESC-101	NA	Columbia
BESC-102	NA	Columbia
BESC-103	NA	Columbia
BESC-104	NA	Columbia
BESC-105	NA	Columbia
BESC-106	NA	Columbia
BESC-107	NA	Columbia
BESC-108	NA	Columbia
BESC-109	NA	Columbia
BESC-11	NA	Columbia
BESC-110	NA	Columbia
BESC-111	NA	Columbia
BESC-112	NA	Columbia
BESC-113	NA	Columbia
BESC-114	NA	Columbia
BESC-115	NA	Columbia
BESC-116	NA	Columbia
BESC-117	NA	Columbia
BESC-118	NA	Columbia
BESC-119	NA	Columbia
BESC-12	NA	Columbia
BESC-120	NA	Columbia
BESC-121	NA	Columbia
BESC-122	NA	Columbia
BESC-123	NA	Columbia
BESC-124	NA	Columbia
BESC-125	NA	Columbia
BESC-126	NA	Columbia
BESC-127	NA	Columbia
BESC-128	NA	Columbia
BESC-129	NA	Columbia
BESC-13	NA	Columbia
BESC-130	NA	Columbia
BESC-131	NA	Columbia
BESC-132	NA	Columbia
BESC-133	NA	Columbia
BESC-134	NA	Columbia
BESC-135	NA	Columbia
BESC-136	NA	Columbia
BESC-137	NA	Columbia
BESC-138	NA	Columbia
BESC-139	NA	Columbia
BESC-14	NA	Columbia
BESC-140	NA	Columbia
BESC-15	NA	Columbia
BESC-16	NA	Columbia
BESC-17	NA	Columbia
BESC-18	NA	Columbia
BESC-19	NA	Columbia
BESC-2	NA	Columbia
BESC-20	NA	Columbia
BESC-21	NA	Columbia
BESC-22	NA	Columbia
BESC-23	NA	Columbia
BESC-24	NA	Columbia
BESC-25	NA	Columbia
BESC-26	NA	Columbia
BESC-27	NA	Columbia
BESC-28	NA	Columbia
BESC-29	NA	Columbia
BESC-3	NA	Columbia
BESC-30	NA	Columbia
BESC-31	NA	Columbia
BESC-32	NA	Columbia
BESC-33	NA	Columbia
BESC-34	NA	Columbia
BESC-35	NA	Columbia
BESC-36	NA	Columbia
BESC-37	NA	Columbia
BESC-38	NA	Columbia
BESC-39	NA	Columbia
BESC-4	NA	Columbia
BESC-40	NA	Columbia
BESC-41	NA	Columbia
BESC-42	NA	Columbia
BESC-43	NA	Columbia
BESC-44	NA	Columbia
BESC-45	NA	Columbia
BESC-46	NA	Columbia
BESC-47	NA	Columbia
BESC-48	NA	Columbia
BESC-49	NA	Columbia
BESC-5	NA	Columbia
BESC-50	NA	Columbia
BESC-51	NA	Columbia
BESC-52	NA	Columbia
BESC-53	NA	Columbia
BESC-54	NA	Columbia
BESC-56	NA	Columbia
BESC-57	NA	Columbia
BESC-6	NA	Columbia
BESC-60	NA	Columbia
BESC-61	NA	Columbia
BESC-62	NA	Columbia
BESC-63	NA	Columbia
BESC-64	NA	Columbia
BESC-66	NA	Columbia
BESC-67	NA	Columbia
BESC-68	NA	Columbia
BESC-69	NA	Columbia
BESC-7	NA	Columbia
BESC-70	NA	Columbia
BESC-71	NA	Columbia
BESC-73	NA	Columbia
BESC-74	NA	Columbia
BESC-75	NA	Columbia
BESC-76	NA	Columbia
BESC-77	NA	Columbia
BESC-78	NA	Columbia
BESC-79	NA	Columbia
BESC-8	NA	Columbia
BESC-80	NA	Columbia
BESC-81	NA	Columbia
BESC-82	NA	Columbia
BESC-83	NA	Columbia
BESC-84	NA	Columbia
BESC-85	NA	Columbia
BESC-86	NA	Columbia
BESC-87	NA	Columbia
BESC-88	NA	Columbia
BESC-89	NA	Columbia
BESC-9	NA	Columbia
BESC-90	NA	Columbia
BESC-91	NA	Columbia
BESC-92	NA	Columbia
BESC-93	NA	Columbia
BESC-94	NA	Columbia
BESC-95	NA	Columbia
BESC-96	NA	Columbia
BESC-97	NA	Columbia
BESC-98	NA	Columbia
BESC-99	NA	Columbia
GW-10072	NA	Columbia
GW-11037	NA	Columbia
GW-11038	NA	Columbia
GW-11039	NA	Columbia
GW-11041	NA	Columbia
GW-11042	NA	Columbia
GW-11043	NA	Columbia
GW-11044	NA	Columbia
GW-11045	NA	Columbia
GW-11046	NA	Columbia
GW-11047	NA	Columbia
GW-11048	NA	Columbia
GW-11049	NA	Columbia
GW-11051	NA	Columbia
GW-11052	NA	Columbia
GW-4610	NA	Columbia
GW-7973	NA	Columbia
GW-7974	NA	Columbia
GW-7975	NA	Columbia
GW-7976	NA	Columbia
GW-7977	NA	Columbia
GW-7978	NA	Columbia
GW-7979	NA	Columbia
GW-7980	NA	Columbia
GW-7981	NA	Columbia
GW-7982	NA	Columbia
GW-7983	NA	Columbia
GW-7984	NA	Columbia
GW-7985	NA	Columbia
GW-7986	NA	Columbia
GW-7987	NA	Columbia
GW-7988	NA	Columbia
GW-7989	NA	Columbia
GW-7990	NA	Columbia
GW-7991	NA	Columbia
GW-7992	NA	Columbia
GW-7993	NA	Columbia
GW-7994	NA	Columbia
GW-7996	NA	Columbia
GW-9947	NA	Columbia
GW-9948	NA	Columbia
GW-9950	NA	Columbia
GW-9951	NA	Columbia
GW-9952	NA	Columbia
GW-9953	NA	Columbia
GW-9954	NA	Columbia
GW-9955	NA	Columbia
GW-9956	NA	Columbia
GW-9957	NA	Columbia
GW-9958	NA	Columbia
GW-9959	NA	Columbia
GW-9960	NA	Columbia
GW-9961	NA	Columbia
GW-9962	NA	Columbia
GW-9963	NA	Columbia
GW-9964	NA	Columbia
GW-9965	NA	Columbia
GW-9966	NA	Columbia
GW-9967	NA	Columbia
GW-9968	NA	Columbia
GW-9969	NA	Columbia
GW-9970	NA	Columbia
GW-9971	NA	Columbia
BESC-1241	NA	nearSouth
BESC-1242	NA	nearSouth
BESC-1245	NA	nearSouth
BESC-1246	NA	nearSouth
BESC-1249	NA	nearSouth
BESC-1250	NA	nearSouth
BESC-1231	NA	nearSouth
BESC-1235	NA	nearSouth
BESC-1236	NA	nearSouth
BESC-1237	NA	nearSouth
BESC-1238	NA	nearSouth
BESC-1239	NA	nearSouth
BESC-1222	NA	nearSouth
BESC-1223	NA	nearSouth
BESC-1224	NA	nearSouth
BESC-1225	NA	nearSouth
BESC-1226	NA	nearSouth
BESC-1227	NA	nearSouth
BESC-1228	NA	nearSouth
BESC-1229	NA	nearSouth
BESC-1230	NA	nearSouth
BESC-1150	NA	nearSouth
BESC-1151	NA	nearSouth
BESC-1152	NA	nearSouth
BESC-1153	NA	nearSouth
BESC-1154	NA	nearSouth
BESC-1155	NA	nearSouth
BESC-1156	NA	nearSouth
BESC-1157	NA	nearSouth
BESC-1010	NA	nearSouth
BESC-1011	NA	nearSouth
BESC-1012	NA	nearSouth
BESC-1015	NA	nearSouth
BESC-1016	NA	nearSouth
BESC-1158	NA	nearSouth
BESC-1159	NA	nearSouth
BESC-1160	NA	nearSouth
BESC-1161	NA	nearSouth
BESC-1162	NA	nearSouth
BESC-1163	NA	nearSouth
BESC-1164	NA	nearSouth
BESC-1165	NA	nearSouth
BESC-1166	NA	nearSouth
BESC-1167	NA	nearSouth
BESC-1168	NA	nearSouth
BESC-1169	NA	nearSouth
BESC-1170	NA	nearSouth
BESC-1171	NA	nearSouth
BESC-1172	NA	nearSouth
BESC-1001	NA	nearSouth
BESC-1002	NA	nearSouth
BESC-1003	NA	nearSouth
BESC-1004	NA	nearSouth
BESC-1005	NA	nearSouth
BESC-1006	NA	nearSouth
BESC-1007	NA	nearSouth
BESC-1008	NA	nearSouth
BESC-1009	NA	nearSouth
BESC-1013	NA	nearSouth
BESC-1014	NA	nearSouth
BESC-1017	NA	nearSouth
BESC-1173	NA	nearSouth
BESC-1174	NA	nearSouth
BESC-1175	NA	nearSouth
BESC-1176	NA	nearSouth
BESC-1177	NA	nearSouth
BESC-1178	NA	nearSouth
BESC-1179	NA	nearSouth
BESC-1180	NA	nearSouth
BESC-1181	NA	nearSouth
BESC-1182	NA	nearSouth
BESC-1183	NA	nearSouth
BESC-1184	NA	nearSouth
BESC-1185	NA	nearSouth
GW-10955	NA	nearSouth
GW-10956	NA	nearSouth
GW-10957	NA	nearSouth
GW-10958	NA	nearSouth
GW-11031	NA	nearSouth
GW-11032	NA	nearSouth
GW-11033	NA	nearSouth
GW-11034	NA	nearSouth
GW-11035	NA	nearSouth
GW-11036	NA	nearSouth
GW-9592	NA	nearSouth
GW-9594	NA	nearSouth
GW-9595	NA	nearSouth
GW-9596	NA	nearSouth
GW-9597	NA	nearSouth
